section,location,claim_text,type,status,severity,notes
discussion,discussion.tex:29,Norte's consistent positive slopes across all four statuses (p < 0.05 for each),empirical,qualified,moderate,"Under BFS+HAC: Norte Total HAC p=0.0 (***), NL HAC p=0.0003 (***), LA HAC p=0.0 (***), LD HAC p=0.0 (***). All p<0.05, so claim directionally correct. However, the table shows Norte Total as *** using OLS stars, while the true HAC p=0.0 gives same conclusion here. Slope magnitudes differ between WP2 raw and BFS: LA 1.012 vs 1.285, Total 0.624 vs 0.958. The qualitative claim 'consistent positive slopes, p<0.05 for each' is supported."
discussion,discussion.tex:36-38,Bajio structural break Feb 2017 F=78.13 (p<0.001); beta_1=-8.82/yr; beta_2=+0.47/yr (p=0.046),empirical,qualified,serious,"F=78.13 verified. beta_2=+0.47/yr: WP2 gives 0.477, rounding ok. p=0.046 is OLS; HAC p=0.054 (ns). Claims based on OLS p-value inconsistent with HAC caption."
discussion,discussion.tex:38,"Total -0.31/yr (p=0.041), Located Alive -0.35/yr (p=0.003)",empirical,qualified,serious,"Both p-values are OLS. Under HAC: Total p=0.470 (ns), LA p=0.433 (ns). Discussion presents these as supporting claims about the Bajio corridor using OLS p-values while the methods section and table caption state HAC."
discussion,discussion.tex:53-55,"Jalisco: RNPDNO registrations collapsed from 3,825 in 2021 to 216 in 2024, 94% decline",empirical,unverified,moderate,Repeated from results_ced.tex. Same unverified note applies.
discussion,discussion.tex:60,"Located Alive near-parity: 49.4% male, 50.5% female",empirical,unverified,trivial,Descriptive sex composition not re-computed in this audit. Note: 49.4+50.5=99.9 (rounding of third category or minor rounding artifact).
discussion,discussion.tex:60,Not Located cases 77.9% male,empirical,unverified,trivial,Not re-computed in this audit.
discussion,discussion.tex:64,"Not Located male vs female HH Jaccard = 0.262, with only 28 of 107 municipalities shared",empirical,unverified,trivial,Not re-computed in this audit.
discussion,discussion.tex:65,"female Located Dead power failure, mean 0.0065 cases per municipality-month, 99.4% zero cells",empirical,unverified,trivial,Not re-computed but internally consistent with earlier results.
conclusion,conclusion.tex:6,"Jaccard NL<->LD = 0.143, LA<->LD = 0.151",empirical,unverified,trivial,Repeated from results; not independently recomputed.
conclusion,conclusion.tex:7,"50% of Not Located in 42 municipalities (1.7%), 50% of Located Dead in 22 (0.9%)",empirical,unverified,trivial,Concentration metrics not re-verified in this audit.
conclusion,conclusion.tex:8,Centro fastest-growing: Not Located +4.96/yr (p<0.001),empirical,verified,trivial,Confirmed by WP2 and BFS audit. HAC p=0.0 (***).
conclusion,conclusion.tex:9,"Bajio: structural break Feb 2017, pre-break -8.82/yr, post-2017 +0.47/yr (p=0.046), Not Located +0.50/yr (p<0.001)",empirical,qualified,serious,F=78.13 and break date confirmed. Pre-break slope: WP2 gives -8.599 vs -8.82 stated. Post-2017 p=0.046 is OLS; HAC gives p=0.054 (ns). NL +0.50 verified (HAC ** not ***).
conclusion,conclusion.tex:9,External validation: rank-biserial correlations 0.76 to 0.96 across all sex and status combinations,empirical,unverified,trivial,VAWRI correlations not re-verified in this audit.
discussion,discussion.tex:24,potentially reflecting the urbanization of organized criminal violence as trafficking routes shift,hypothesis,verified,trivial,Appropriately hedged with 'potentially reflecting'. Causal language is conditional.
discussion,discussion.tex:37,driven primarily by Not Located cases,empirical,verified,trivial,'Driven' is an informal causal term but is used in the statistical sense of explaining variance. Limitation 5 in discussion acknowledges descriptive design. Acceptable.
discussion,discussion.tex:9,"composite maps are 60% Located Alive cases, they misallocate resources",hypothesis,qualified,trivial,The 60% figure is implied from the dominance of LA in Total counts. 'Misallocate resources' is a policy implication stated as causal fact; should be 'could misallocate' given descriptive design.
introduction,introduction.tex:9,"If these processes have different spatial drivers, composite maps conflating all outcomes will misallocate forensic and prevention resources",hypothesis,verified,trivial,Correctly framed as conditional ('if').
discussion,discussion.tex:25,urban municipalities ... may register a higher proportion of existing cases without a corresponding increase in underlying incidence,hypothesis,verified,trivial,Explicitly flagged as a competing hypothesis. Correctly distinguishes registration from incidence.
discussion,discussion.tex:26,institutional reforms ... coincide with the largest expansion of Not Located hotspot municipalities,hypothesis,verified,trivial,"Uses 'coincide', not 'caused'. Appropriately cautious."
discussion,discussion.tex:26,legislative and administrative measures have not yet translated into a measurable spatial contraction of the disappearance crisis,hypothesis,qualified,moderate,"This implies registration = incidence for the purpose of 'contraction'. The sentence immediately qualifies it ('may also partly reflect improved registration'), but the opening assertion is stated flatly. Given limitation 3 (missing data/registration geography), this framing is somewhat strong."
introduction,introduction.tex:5,a figure widely acknowledged to undercount the true scale,literature,verified,trivial,Attributed to guercke_2025. Standard and well-supported claim in this literature.
conclusion,conclusion.tex:5-9,"FIVE EMPIRICAL FINDINGS: (1) spatial non-interchangeability, (2) extreme concentration, (3) Centro fastest-growing, (4) Bajio structural break, (5) VAWRI external validation",empirical,qualified,moderate,Finding (1): verified in results_clustering. Finding (2): unverified but plausible. Finding (3): verified. Finding (4): qualified — Chow break verified but post-2017 expansion marginal under HAC (p=0.054). Finding (5): unverified. Findings (1)-(3) and (5) match their Results counterparts. Finding (4) overstates significance (OLS p=0.046 presented as HAC result).
results_temporal,tables/table6_trend_slopes.tex:7,Table 6: Norte Total +0.62***,empirical,qualified,moderate,"WP2 stored: slope=0.624, p=0.016 (*). BFS HAC: slope=0.958, p=0.0000 (***). Two issues: (a) slope magnitude 0.62 vs BFS 0.958 — significant difference; (b) WP2 raw stored p=0.016 gives * but table shows ***. Under BFS HAC, *** is correct (p=0.0). The WP2 raw-LISA slope and p-value are wrong, but BFS HAC gives ***. Net: star is accidentally correct under BFS but wrong in WP2 raw."
results_temporal,tables/table6_trend_slopes.tex:7,Table 6: Norte NL +0.59***,empirical,qualified,moderate,"WP2 stored: slope=0.590, p=0.0022 (**). BFS HAC: slope=0.659, p=0.0003 (***). Slope magnitude matches WP2 (0.590 vs 0.59). Stars: WP2 raw gives ** but table shows ***. BFS HAC gives *** (p=0.0003). If using BFS, *** is defensible. But using WP2 raw, it should be **."
results_temporal,tables/table6_trend_slopes.tex:9,Table 6: Centro-Norte Total -1.02***,empirical,incorrect,serious,"WP2 stored: slope=-1.022, p=0.036 (*). BFS HAC: slope=-0.954, p=0.0210 (*). WP2 raw-LISA gives * (p=0.036). BFS HAC gives * (p=0.021). Both give ONE star. Table shows ***. SERIOUS: three stars vs one star."
results_temporal,tables/table6_trend_slopes.tex:9,Table 6: Centro-Norte NL -0.76***,empirical,incorrect,serious,"WP2 stored: slope=-0.734, p=0.028 (*). BFS HAC: slope=-0.963, p=0.0028 (**). Table shows *** but WP2 raw-LISA gives * and BFS HAC gives **."
results_temporal,tables/table6_trend_slopes.tex:8,Table 6: Norte-Occidente Total +0.63***,empirical,incorrect,serious,"WP2 stored: slope=0.626. BFS HAC: slope=0.342, p=0.0024 (**). Table shows *** but BFS HAC gives ** (p=0.0024)."
results_temporal,tables/table6_trend_slopes.tex:8,Table 6: Norte-Occidente NL +0.50***,empirical,incorrect,serious,"WP2 stored: slope=0.503. BFS HAC: slope=0.391, p=0.0089 (**). Table shows *** but BFS HAC gives ** (p=0.009)."
results_temporal,tables/table6_trend_slopes.tex:12,Table 6: Bajio Total -0.31*,empirical,incorrect,serious,"WP2 stored: slope=-0.307, p=0.4696 (ns). BFS HAC: p=0.4696 (ns). OLS p=0.014 (*). Table shows * but HAC gives ns. Star is from OLS, not HAC as stated in caption."
results_temporal,tables/table6_trend_slopes.tex:12,Table 6: Bajio LA -0.35**,empirical,incorrect,serious,"WP2 stored: slope=-0.346, HAC p=0.4328 (ns), OLS p=0.0085 (**). Table shows ** but HAC gives ns. Star is from OLS, not HAC."
results_temporal,tables/table6_trend_slopes.tex:12,Table 6: Bajio LD +0.15*,empirical,incorrect,serious,"WP2 stored: slope=0.148, HAC p=0.1808 (ns), OLS p=0.0119 (*). Table shows * but HAC gives ns. Star is from OLS, not HAC."
results_temporal,tables/table6_trend_slopes.tex:11,Table 6: Norte-Occidente LD +0.08 (ns),empirical,qualified,trivial,"WP2 stored: slope=-0.080, ns. BFS: slope=+0.009, ns. Table shows +0.08 (matching WP2 magnitude but with reversed sign vs WP2 stored value of -0.08). BFS gives +0.009 (near zero, ns). Sign in WP2 raw was negative; table shows positive. Non-significant either way, but sign inconsistency between table and WP2 stored warrants a note."
